GSE,CUI,SAB,CODE,STR
GSE18443,C0004153,ICD9CM,440,Atherosclerosis
GSE18443,C0004153,MSH,D050197,Atherosclerosis
GSE18443,C0010068,MSH,D003327,Coronary Disease
GSE18443,C0027051,MSH,D009203,Myocardial Infarction
GSE18443,C1956346,MSH,D003324,Coronary Artery Disease
GSE18444,C0027831,ICD9CM,237.71,Neurofibromatosis type I
GSE18444,C0027831,ICD9CM,237.71,Neurofibromatosis, type 1 [von recklinghausen's disease]
GSE18445,C0027831,ICD9CM,237.71,Neurofibromatosis type I
GSE18445,C0027831,ICD9CM,237.71,Neurofibromatosis, type 1 [von recklinghausen's disease]
GSE18446,C0023473,ICD9CM,205.1,Myeloid leukemia, chronic
GSE18447,C0027831,ICD9CM,237.71,Neurofibromatosis type I
GSE18447,C0027831,ICD9CM,237.71,Neurofibromatosis, type 1 [von recklinghausen's disease]
GSE18448-GPL2507,C0027831,ICD9CM,237.71,Neurofibromatosis type I
GSE18448-GPL2507,C0027831,ICD9CM,237.71,Neurofibromatosis, type 1 [von recklinghausen's disease]
GSE18448-GPL6333,C0027831,ICD9CM,237.71,Neurofibromatosis type I
GSE18448-GPL6333,C0027831,ICD9CM,237.71,Neurofibromatosis, type 1 [von recklinghausen's disease]
GSE18457-GPL4133,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE18457-GPL9448,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE18464,C0019693,ICD9CM,042,Human immuno virus dis
GSE18464,C0019693,ICD9CM,042,Human immunodeficiency virus [HIV] disease
GSE18464,C0019693,ICD9CM,042-042.99,HUMAN IMMUNODEFICIENCY VIRUS [HIV] INFECTION
GSE18464,C0019693,MSH,D015658,HIV Infections
GSE18468,C0019693,ICD9CM,042,Human immuno virus dis
GSE18468,C0019693,ICD9CM,042,Human immunodeficiency virus [HIV] disease
GSE18468,C0019693,ICD9CM,042-042.99,HUMAN IMMUNODEFICIENCY VIRUS [HIV] INFECTION
GSE18468,C0019693,MSH,D015658,HIV Infections
GSE18469,C0011860,MSH,D003924,Diabetes Mellitus, Type 2
GSE18469,C0028754,ICD9CM,278.00,Obesity NOS
GSE18469,C0028754,ICD9CM,278.00,Obesity, unspecified
GSE18469,C0028754,MSH,D009765,Obesity
GSE1847,C0009319,MSH,D003092,Colitis
GSE1847,C0043096,ICD9CM,783.21,Abnormal loss of weight
GSE1847,C0043096,ICD9CM,783.21,Loss of weight
GSE18470,C0011860,MSH,D003924,Diabetes Mellitus, Type 2
GSE18470,C0028754,ICD9CM,278.00,Obesity NOS
GSE18470,C0028754,ICD9CM,278.00,Obesity, unspecified
GSE18470,C0028754,MSH,D009765,Obesity
GSE18473,C0032080,MSH,D010935,Plant Diseases
GSE18478,C0206754,ICD9CM,209,Neuroendocrine tumors
GSE18478,C0206754,ICD9CM,209-209.99,NEUROENDOCRINE TUMORS
GSE18479,C0004153,ICD9CM,440,Atherosclerosis
GSE18479,C0004153,MSH,D050197,Atherosclerosis
GSE18479,C0010068,MSH,D003327,Coronary Disease
GSE18479,C0027051,MSH,D009203,Myocardial Infarction
GSE18479,C1956346,MSH,D003324,Coronary Artery Disease
GSE18486,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE1849-GPL96,C0002895,ICD9CM,282.6,Sickle-cell disease
GSE1849-GPL96,C0002895,ICD9CM,282.60,Sickle cell disease NOS
GSE1849-GPL96,C0002895,ICD9CM,282.60,Sickle-cell disease, unspecified
GSE1849-GPL96,C0002895,MSH,D000755,Anemia, Sickle Cell
GSE1849-GPL97,C0002895,ICD9CM,282.6,Sickle-cell disease
GSE1849-GPL97,C0002895,ICD9CM,282.60,Sickle cell disease NOS
GSE1849-GPL97,C0002895,ICD9CM,282.60,Sickle-cell disease, unspecified
GSE1849-GPL97,C0002895,MSH,D000755,Anemia, Sickle Cell
GSE18498,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE18501,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE18504,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE18517,C0032080,MSH,D010935,Plant Diseases
GSE18518,C0032080,MSH,D010935,Plant Diseases
GSE1852,C0024796,ICD9CM,759.82,Marfan syndrome
GSE1852,C0024796,MSH,D008382,Marfan Syndrome
GSE1852,C0026267,MSH,D008945,Mitral Valve Prolapse
GSE18527,C0019342,ICD9CM,054.1,Genital herpes
GSE18527,C0019342,ICD9CM,054.10,Genital herpes NOS
GSE18527,C0019342,ICD9CM,054.10,Genital herpes, unspecified
GSE18527,C0019342,MSH,D006558,Herpes Genitalis
GSE1854-GPL350,C0001314,MSH,D000208,Acute Disease
GSE1854-GPL350,C0019693,ICD9CM,042,Human immuno virus dis
GSE1854-GPL350,C0019693,ICD9CM,042,Human immunodeficiency virus [HIV] disease
GSE1854-GPL350,C0019693,ICD9CM,042-042.99,HUMAN IMMUNODEFICIENCY VIRUS [HIV] INFECTION
GSE1854-GPL350,C0019693,MSH,D015658,HIV Infections
GSE1854-GPL350,C0024312,ICD9CM,288.51,Lymphocytopenia
GSE1854-GPL350,C0024312,MSH,D008231,Lymphopenia
GSE1854-GPL350,C0080151,MSH,D016097,Simian Acquired Immunodeficiency Syndrome
GSE1854-GPL351,C0001314,MSH,D000208,Acute Disease
GSE1854-GPL351,C0019693,ICD9CM,042,Human immuno virus dis
GSE1854-GPL351,C0019693,ICD9CM,042,Human immunodeficiency virus [HIV] disease
GSE1854-GPL351,C0019693,ICD9CM,042-042.99,HUMAN IMMUNODEFICIENCY VIRUS [HIV] INFECTION
GSE1854-GPL351,C0019693,MSH,D015658,HIV Infections
GSE1854-GPL351,C0024312,ICD9CM,288.51,Lymphocytopenia
GSE1854-GPL351,C0024312,MSH,D008231,Lymphopenia
GSE1854-GPL351,C0080151,MSH,D016097,Simian Acquired Immunodeficiency Syndrome
GSE18544,C0006118,ICD9CM,239.6,Brain neoplasm NOS
GSE18544,C0006118,ICD9CM,239.6,Neoplasm of unspecified nature of brain
GSE18551,C0020179,ICD9CM,333.4,Huntington's chorea
GSE18551,C0020179,MSH,D006816,Huntington Disease
GSE18552,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE18553,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE18559,C0021361,ICD9CM,628,Infertility, female
GSE18559,C0021361,ICD9CM,628.9,Female infertility NOS
GSE18559,C0021361,ICD9CM,628.9,Infertility, female, of unspecified origin
GSE1856,C0030569,ICD9CM,332.1,Secondary parkinsonism
GSE1856,C0030569,MSH,D010302,Parkinson Disease, Secondary
GSE18566,C0028754,ICD9CM,278.00,Obesity NOS
GSE18566,C0028754,ICD9CM,278.00,Obesity, unspecified
GSE18566,C0028754,MSH,D009765,Obesity
GSE1857,C0030569,ICD9CM,332.1,Secondary parkinsonism
GSE1857,C0030569,MSH,D010302,Parkinson Disease, Secondary
GSE18574,C0018621,ICD9CM,477.0,Allergic rhinitis due to pollen
GSE18574,C0018621,ICD9CM,477.0,Rhinitis due to pollen
GSE18574,C0018621,MSH,D006255,Rhinitis, Allergic, Seasonal
GSE18581,C0028754,ICD9CM,278.00,Obesity NOS
GSE18581,C0028754,ICD9CM,278.00,Obesity, unspecified
GSE18581,C0028754,MSH,D009765,Obesity
GSE18583,C0035953,ICD9CM,E001.1,Activities involving running
GSE18583,C0035953,ICD9CM,E001.1,Running
GSE18586,C0015695,MSH,D005234,Fatty Liver
GSE18586,C0028754,ICD9CM,278.00,Obesity NOS
GSE18586,C0028754,ICD9CM,278.00,Obesity, unspecified
GSE18586,C0028754,MSH,D009765,Obesity
GSE18586,C0524620,ICD9CM,277.7,Dysmetabolic syndrome x
GSE18586,C0524620,MSH,D024821,Metabolic Syndrome X
GSE1859,C0002871,ICD9CM,285.9,Anemia NOS
GSE1859,C0002871,ICD9CM,285.9,Anemia, unspecified
GSE1859,C0002871,MSH,D000740,Anemia
GSE18594,C0010674,ICD9CM,277.0,Cystic fibrosis
GSE18594,C0010674,MSH,D003550,Cystic Fibrosis
GSE18596,C0032080,MSH,D010935,Plant Diseases
GSE18608,C1956346,MSH,D003324,Coronary Artery Disease
GSE18610,C0021364,ICD9CM,606,Infertility, male
GSE18610,C0021364,ICD9CM,606.9,Male infertility NOS
GSE18610,C0021364,ICD9CM,606.9,Male infertility, unspecified
GSE18610,C0021364,MSH,D007248,Infertility, Male
GSE18612,C1956346,MSH,D003324,Coronary Artery Disease
GSE18616,C0374997,ICD9CM,041.86,Helicobacter pylori
GSE18632,C2718017,MSH,D057177,TDP-43 Proteinopathies
GSE18636,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE18638,C0030567,ICD9CM,332,Parkinson's disease
GSE18638,C0030567,ICD9CM,332.0,Paralysis agitans
GSE18638,C0030567,MSH,D010300,Parkinson Disease
GSE18642,C0020217,ICD9CM,630,Hydatidiform mole
GSE18644,C0020179,ICD9CM,333.4,Huntington's chorea
GSE18644,C0020179,MSH,D006816,Huntington Disease
GSE1865,C0023470,ICD9CM,205,Myeloid leukemia
GSE1865,C0023470,ICD9CM,205.9,Unspecified myeloid leukemia
GSE18663,C0020217,ICD9CM,630,Hydatidiform mole
GSE18664,C0026846,MSH,D009133,Muscular Atrophy
GSE18665-GPL9473,C0032080,MSH,D010935,Plant Diseases
GSE18665-GPL9474,C0032080,MSH,D010935,Plant Diseases
GSE18673,C0023470,ICD9CM,205,Myeloid leukemia
GSE18673,C0023470,ICD9CM,205.9,Unspecified myeloid leukemia
GSE18677-GPL9523,C0751651,MSH,D028361,Mitochondrial Diseases
GSE18677-GPL9524,C0751651,MSH,D028361,Mitochondrial Diseases
GSE18677-GPL9525,C0751651,MSH,D028361,Mitochondrial Diseases
GSE18677-GPL9526,C0751651,MSH,D028361,Mitochondrial Diseases
GSE18686,C0033860,MSH,D011565,Psoriasis
GSE18687,C0006625,ICD9CM,799.4,Cachexia
GSE18687,C0043096,ICD9CM,783.21,Abnormal loss of weight
GSE18687,C0043096,ICD9CM,783.21,Loss of weight
GSE18688,C0006625,ICD9CM,799.4,Cachexia
GSE18688,C0043096,ICD9CM,783.21,Abnormal loss of weight
GSE18688,C0043096,ICD9CM,783.21,Loss of weight
GSE18689,C0221002,ICD9CM,252.01,Primary hyperparathyroid
GSE18689,C0221002,ICD9CM,252.01,Primary hyperparathyroidism
GSE18689,C0221002,MSH,D049950,Hyperparathyroidism, Primary
GSE1869,C0018801,ICD9CM,428,Heart failure
GSE1869,C0018801,ICD9CM,428.9,Heart failure NOS
GSE1869,C0018801,ICD9CM,428.9,Heart failure, unspecified
GSE1869,C0018801,MSH,D006333,Heart Failure
GSE1869,C0018831,ICD9CM,V43.21,Heart assist dev replace
GSE1869,C0018831,ICD9CM,V43.21,Organ or tissue replaced by other means, heart assist device
GSE1869,C0151744,ICD9CM,410-414.99,ISCHEMIC HEART DISEASE
GSE1869,C0151744,MSH,D017202,Myocardial Ischemia
GSE1869,C0878544,ICD9CM,425,Cardiomyopathy
GSE1869,C0878544,MSH,D009202,Cardiomyopathies
GSE18696,C0002395,ICD9CM,331.0,Alzheimer's disease
GSE18696,C0002395,MSH,D000544,Alzheimer Disease
GSE18700,C0023467,ICD9CM,205.0,Myeloid leukemia, acute
GSE18700,C0026986,ICD9CM,238.75,Myelodysplastic synd NOS
GSE18700,C0026986,ICD9CM,238.75,Myelodysplastic syndrome, unspecified
GSE18701-GPL6801,C0020217,ICD9CM,630,Hydatidiform mole
GSE18701-GPL6984,C0020217,ICD9CM,630,Hydatidiform mole
GSE18703,C0013516,ICD9CM,88.72,Diagnostic ultrasound of heart
GSE18703,C0013516,ICD9CM,88.72,Dx ultrasound-heart
GSE18703,C0018801,ICD9CM,428,Heart failure
GSE18703,C0018801,ICD9CM,428.9,Heart failure NOS
GSE18703,C0018801,ICD9CM,428.9,Heart failure, unspecified
GSE18703,C0018801,MSH,D006333,Heart Failure
GSE18703,C0151744,ICD9CM,410-414.99,ISCHEMIC HEART DISEASE
GSE18703,C0151744,MSH,D017202,Myocardial Ischemia
GSE18705,C0036330,ICD9CM,120.1,Schistosoma mansoni
GSE1871,C0024115,MSH,D008171,Lung Diseases
GSE18727,C0005956,MSH,D001855,Bone Marrow Diseases
GSE1873,C0008679,MSH,D002908,Chronic Disease
GSE1873,C0015695,MSH,D005234,Fatty Liver
GSE1873,C0028754,ICD9CM,278.00,Obesity NOS
GSE1873,C0028754,ICD9CM,278.00,Obesity, unspecified
GSE1873,C0028754,MSH,D009765,Obesity
GSE1873,C0520679,ICD9CM,327.23,Obstructive sleep apnea
GSE1873,C0520679,ICD9CM,327.23,Obstructive sleep apnea (adult)(pediatric)
GSE1873,C0520679,MSH,D020181,Sleep Apnea, Obstructive
GSE18733,C0006625,ICD9CM,799.4,Cachexia
GSE18733,C0043096,ICD9CM,783.21,Abnormal loss of weight
GSE18733,C0043096,ICD9CM,783.21,Loss of weight
GSE18752,C0027583,MSH,D009349,Nematode Infections
GSE18759,C0008313,MSH,D015209,Cholangitis, Sclerosing
GSE18766,C0282677,MSH,D019121,Burkholderia Infections
GSE18781,C0949691,MSH,D025242,Spondylarthropathies
GSE18787,C0032080,MSH,D010935,Plant Diseases
GSE18793,C0038166,MSH,D013207,Staphylococcal Skin Infections
GSE18793,C0206171,MSH,D017714,Community-Acquired Infections
GSE1880-GPL8300,C0006413,ICD9CM,200.2,Burkitt's tumor or lymphoma
GSE1880-GPL8300,C0036220,ICD9CM,176,Kaposi's sarcoma
GSE1880-GPL8300,C0036220,ICD9CM,176.9,Kaposi's sarcoma NOS
GSE1880-GPL8300,C0036220,ICD9CM,176.9,Kaposi's sarcoma, unspecified site
GSE1880-GPL91,C0006413,ICD9CM,200.2,Burkitt's tumor or lymphoma
GSE1880-GPL91,C0036220,ICD9CM,176,Kaposi's sarcoma
GSE1880-GPL91,C0036220,ICD9CM,176.9,Kaposi's sarcoma NOS
GSE1880-GPL91,C0036220,ICD9CM,176.9,Kaposi's sarcoma, unspecified site
GSE18800,C0034069,MSH,D011658,Pulmonary Fibrosis
GSE18801,C0018800,ICD9CM,429.3,Cardiomegaly
GSE18801,C0018801,ICD9CM,428,Heart failure
GSE18801,C0018801,ICD9CM,428.9,Heart failure NOS
GSE18801,C0018801,ICD9CM,428.9,Heart failure, unspecified
GSE18801,C0018801,MSH,D006333,Heart Failure
GSE18802,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE18803,C0030193,ICD9CM,338-338.99,PAIN
GSE18809,C0007876,ICD9CM,74,Cesarean section and removal of fetus
GSE18809,C0007876,ICD9CM,74.9,Cesarean section of unspecified type
GSE18809,C0021295,MSH,D007235,Infant, Premature, Diseases
GSE18809,C0032962,ICD9CM,646.9,Unspecified complication of pregnancy
GSE18809,C0032962,MSH,D011248,Pregnancy Complications
GSE18809,C0151526,ICD9CM,644.2,Early onset of delivery
GSE18811,C0242383,ICD9CM,362.50,Macular degeneration (senile), unspecified
GSE18811,C0242383,ICD9CM,362.50,Macular degeneration NOS
GSE18811,C0242383,MSH,D008268,Macular Degeneration
GSE18814,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE18815-GPL6246,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE18815-GPL7060,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE18816,C0016627,MSH,D005585,Influenza in Birds
GSE18816,C0021400,ICD9CM,487,Influenza
GSE18816,C0021400,MSH,D007251,Influenza, Human
GSE18825,C0021364,ICD9CM,606,Infertility, male
GSE18825,C0021364,ICD9CM,606.9,Male infertility NOS
GSE18825,C0021364,ICD9CM,606.9,Male infertility, unspecified
GSE18825,C0021364,MSH,D007248,Infertility, Male
GSE18828-GPL3718,C0004398,ICD9CM,89.8,Autopsy
GSE18828-GPL6801,C0004398,ICD9CM,89.8,Autopsy
GSE18829-GPL6103,C0023418,ICD9CM,208,Leukemia of unspecified cell type
GSE18829-GPL6103,C0023418,ICD9CM,208.9,Unspecified leukemia
GSE18829-GPL9115,C0023418,ICD9CM,208,Leukemia of unspecified cell type
GSE18829-GPL9115,C0023418,ICD9CM,208.9,Unspecified leukemia
GSE18833,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE18838,C0030567,ICD9CM,332,Parkinson's disease
GSE18838,C0030567,ICD9CM,332.0,Paralysis agitans
GSE18838,C0030567,MSH,D010300,Parkinson Disease
GSE18844,C0006413,ICD9CM,200.2,Burkitt's tumor or lymphoma
GSE18849,C0006413,ICD9CM,200.2,Burkitt's tumor or lymphoma
GSE18850,C0007876,ICD9CM,74,Cesarean section and removal of fetus
GSE18850,C0007876,ICD9CM,74.9,Cesarean section of unspecified type
GSE18850,C0021295,MSH,D007235,Infant, Premature, Diseases
GSE18850,C0032962,ICD9CM,646.9,Unspecified complication of pregnancy
GSE18850,C0032962,MSH,D011248,Pregnancy Complications
GSE18850,C0151526,ICD9CM,644.2,Early onset of delivery
GSE18858,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE18859,C0009319,MSH,D003092,Colitis
GSE18866,C0023434,ICD9CM,204.1,Lymphoid leukemia, chronic
GSE18868,C0023418,ICD9CM,208,Leukemia of unspecified cell type
GSE18868,C0023418,ICD9CM,208.9,Unspecified leukemia
GSE18870,C0023418,ICD9CM,208,Leukemia of unspecified cell type
GSE18870,C0023418,ICD9CM,208.9,Unspecified leukemia
GSE18874,C0006413,ICD9CM,200.2,Burkitt's tumor or lymphoma
GSE18880,C0018799,ICD9CM,429.9,Heart disease NOS
GSE18880,C0018799,ICD9CM,429.9,Heart disease, unspecified
GSE18880,C0018799,MSH,D006331,Heart Diseases
GSE18883,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE18890,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE18894,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE18896,C0020538,ICD9CM,401-405.99,HYPERTENSIVE DISEASE
GSE18896,C0020538,ICD9CM,997.91,Complications affecting other specified body systems, not elsewhere classified, hypertension
GSE18896,C0020538,ICD9CM,997.91,Surg comp - hypertension
GSE18896,C0020538,MSH,D006973,Hypertension
GSE18896,C0023976,ICD9CM,426.82,Long QT syndrome
GSE18896,C0023976,MSH,D008133,Long QT Syndrome
GSE18897,C0028754,ICD9CM,278.00,Obesity NOS
GSE18897,C0028754,ICD9CM,278.00,Obesity, unspecified
GSE18897,C0028754,MSH,D009765,Obesity
GSE18899-GPL6884,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE18899-GPL7731,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE18899-GPL9530,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE18904,C0019196,ICD9CM,070.7,Unspecified viral hepatitis C
GSE18904,C0019196,MSH,D006526,Hepatitis C
GSE18904,C0023890,MSH,D008103,Liver Cirrhosis
GSE18909,C0041296,ICD9CM,010-018.99,TUBERCULOSIS
GSE18909,C0041296,MSH,D014376,Tuberculosis
GSE18911,C0002893,MSH,D000753,Anemia, Refractory
GSE18911,C0002896,ICD9CM,285.0,Sideroblastic anemia
GSE18911,C0002896,MSH,D000756,Anemia, Sideroblastic
GSE18919,C0042749,ICD9CM,790.8,Viremia NOS
GSE18919,C0042749,ICD9CM,790.8,Viremia, unspecified
GSE18919,C0042749,MSH,D014766,Viremia
GSE18919,C0524910,MSH,D019698,Hepatitis C, Chronic
GSE18920,C0002736,ICD9CM,335.20,Amyotrophic lateral sclerosis
GSE18920,C0002736,ICD9CM,335.20,Amyotrophic sclerosis
GSE18920,C0002736,MSH,D000690,Amyotrophic Lateral Sclerosis
GSE18924,C0028754,ICD9CM,278.00,Obesity NOS
GSE18924,C0028754,ICD9CM,278.00,Obesity, unspecified
GSE18924,C0028754,MSH,D009765,Obesity
GSE18925,C0028754,ICD9CM,278.00,Obesity NOS
GSE18925,C0028754,ICD9CM,278.00,Obesity, unspecified
GSE18925,C0028754,MSH,D009765,Obesity
GSE18926,C0028754,ICD9CM,278.00,Obesity NOS
GSE18926,C0028754,ICD9CM,278.00,Obesity, unspecified
GSE18926,C0028754,MSH,D009765,Obesity
GSE18927-GPL10999,C0010346,MSH,D003424,Crohn Disease
GSE18927-GPL10999,C0012634,MSH,D004194,Disease
GSE18927-GPL10999,C0026769,ICD9CM,340,Multiple sclerosis
GSE18927-GPL10999,C0026769,MSH,D009103,Multiple Sclerosis
GSE18927-GPL10999,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE18927-GPL10999,C1623258,ICD9CM,89.52,Electrocardiogram
GSE18927-GPL11154,C0010346,MSH,D003424,Crohn Disease
GSE18927-GPL11154,C0012634,MSH,D004194,Disease
GSE18927-GPL11154,C0026769,ICD9CM,340,Multiple sclerosis
GSE18927-GPL11154,C0026769,MSH,D009103,Multiple Sclerosis
GSE18927-GPL11154,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE18927-GPL11154,C1623258,ICD9CM,89.52,Electrocardiogram
GSE18927-GPL18952,C0010346,MSH,D003424,Crohn Disease
GSE18927-GPL18952,C0012634,MSH,D004194,Disease
GSE18927-GPL18952,C0026769,ICD9CM,340,Multiple sclerosis
GSE18927-GPL18952,C0026769,MSH,D009103,Multiple Sclerosis
GSE18927-GPL18952,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE18927-GPL18952,C1623258,ICD9CM,89.52,Electrocardiogram
GSE18927-GPL5188,C0010346,MSH,D003424,Crohn Disease
GSE18927-GPL5188,C0012634,MSH,D004194,Disease
GSE18927-GPL5188,C0026769,ICD9CM,340,Multiple sclerosis
GSE18927-GPL5188,C0026769,MSH,D009103,Multiple Sclerosis
GSE18927-GPL5188,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE18927-GPL5188,C1623258,ICD9CM,89.52,Electrocardiogram
GSE18927-GPL9115,C0010346,MSH,D003424,Crohn Disease
GSE18927-GPL9115,C0012634,MSH,D004194,Disease
GSE18927-GPL9115,C0026769,ICD9CM,340,Multiple sclerosis
GSE18927-GPL9115,C0026769,MSH,D009103,Multiple Sclerosis
GSE18927-GPL9115,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE18927-GPL9115,C1623258,ICD9CM,89.52,Electrocardiogram
GSE1893,C0026846,MSH,D009133,Muscular Atrophy
GSE18936,C0006840,ICD9CM,112,Candidiasis
GSE18936,C0006840,ICD9CM,112.9,Candidiasis of unspecified site
GSE18936,C0006840,ICD9CM,112.9,Candidiasis site NOS
GSE18936,C0006840,MSH,D002177,Candidiasis
GSE18946,C0019372,MSH,D006566,Herpesviridae Infections
GSE18948,C0033860,MSH,D011565,Psoriasis
GSE18964,C0023473,ICD9CM,205.1,Myeloid leukemia, chronic
GSE18965,C0004096,ICD9CM,493,Asthma
GSE18965,C0004096,ICD9CM,493.9,Asthma, unspecified
GSE18965,C0004096,MSH,D001249,Asthma
GSE18971,C0023434,ICD9CM,204.1,Lymphoid leukemia, chronic
GSE18976,C0032080,MSH,D010935,Plant Diseases
GSE18997,C0021364,ICD9CM,606,Infertility, male
GSE18997,C0021364,ICD9CM,606.9,Male infertility NOS
GSE18997,C0021364,ICD9CM,606.9,Male infertility, unspecified
GSE18997,C0021364,MSH,D007248,Infertility, Male
GSE19000-GPL10304,C0036920,ICD9CM,202.2,Sezary's disease
GSE19000-GPL19387,C0036920,ICD9CM,202.2,Sezary's disease
GSE19000-GPL5114,C0036920,ICD9CM,202.2,Sezary's disease
GSE19007,C0043119,MSH,D014898,Werner Syndrome
GSE19012,C0040761,ICD9CM,745.1,Transposition of great vessels
GSE19012,C0040761,ICD9CM,745.10,Compl transpos great ves
GSE19012,C0040761,ICD9CM,745.10,Complete transposition of great vessels
GSE19014,C0243026,ICD9CM,995.91,Sepsis
GSE19014,C0243026,MSH,D018805,Sepsis
GSE1902,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE19033,C0003873,ICD9CM,714.0,Rheumatoid arthritis
GSE19033,C0003873,MSH,D001172,Arthritis, Rheumatoid
GSE19033,C0004364,MSH,D001327,Autoimmune Diseases
GSE19033,C0011633,ICD9CM,710.3,Dermatomyositis
GSE19033,C0011633,MSH,D003882,Dermatomyositis
GSE19033,C0012675,MSH,D004200,Diseases in Twins
GSE19033,C0024141,ICD9CM,710.0,Syst lupus erythematosus
GSE19033,C0024141,ICD9CM,710.0,Systemic lupus erythematosus
GSE19033,C0024141,MSH,D008180,Lupus Erythematosus, Systemic
GSE19038,C0028754,ICD9CM,278.00,Obesity NOS
GSE19038,C0028754,ICD9CM,278.00,Obesity, unspecified
GSE19038,C0028754,MSH,D009765,Obesity
GSE19040-GPL6984,C0023798,ICD9CM,214,Lipoma
GSE19040-GPL6984,C0023798,ICD9CM,214.9,Lipoma NOS
GSE19040-GPL6984,C0023798,ICD9CM,214.9,Lipoma, unspecified site
GSE19040-GPL6984,C0025267,ICD9CM,258.01,Mult endo neoplas type I
GSE19040-GPL6984,C0025267,ICD9CM,258.01,Multiple endocrine neoplasia [MEN] type I
GSE19040-GPL6985,C0023798,ICD9CM,214,Lipoma
GSE19040-GPL6985,C0023798,ICD9CM,214.9,Lipoma NOS
GSE19040-GPL6985,C0023798,ICD9CM,214.9,Lipoma, unspecified site
GSE19040-GPL6985,C0025267,ICD9CM,258.01,Mult endo neoplas type I
GSE19040-GPL6985,C0025267,ICD9CM,258.01,Multiple endocrine neoplasia [MEN] type I
GSE19040-GPL8882,C0023798,ICD9CM,214,Lipoma
GSE19040-GPL8882,C0023798,ICD9CM,214.9,Lipoma NOS
GSE19040-GPL8882,C0023798,ICD9CM,214.9,Lipoma, unspecified site
GSE19040-GPL8882,C0025267,ICD9CM,258.01,Mult endo neoplas type I
GSE19040-GPL8882,C0025267,ICD9CM,258.01,Multiple endocrine neoplasia [MEN] type I
GSE19049,C1135869,MSH,D031941,Hemorrhagic Septicemia, Viral
GSE19057,C0023890,MSH,D008103,Liver Cirrhosis
GSE1906,C0024115,MSH,D008171,Lung Diseases
GSE19060,C0409959,MSH,D020370,Osteoarthritis, Knee
GSE19067,C0079774,ICD9CM,202.7,Peripheral T-cell lymphoma
GSE19069,C0079774,ICD9CM,202.7,Peripheral T-cell lymphoma
GSE1907-GPL8300,C0036205,MSH,D017565,Sarcoidosis, Pulmonary
GSE1907-GPL91,C0036205,MSH,D017565,Sarcoidosis, Pulmonary
GSE19084,C0032080,MSH,D010935,Plant Diseases
GSE19087,C0019693,ICD9CM,042,Human immuno virus dis
GSE19087,C0019693,ICD9CM,042,Human immunodeficiency virus [HIV] disease
GSE19087,C0019693,ICD9CM,042-042.99,HUMAN IMMUNODEFICIENCY VIRUS [HIV] INFECTION
GSE19087,C0019693,MSH,D015658,HIV Infections
GSE1909,C0020542,MSH,D006976,Hypertension, Pulmonary
GSE19092,C0040558,ICD9CM,130,Toxoplasmosis
GSE19092,C0040558,ICD9CM,130.9,Toxoplasmosis NOS
GSE19092,C0040558,ICD9CM,130.9,Toxoplasmosis, unspecified
GSE19092,C0040558,MSH,D014123,Toxoplasmosis
GSE19099,C0028754,ICD9CM,278.00,Obesity NOS
GSE19099,C0028754,ICD9CM,278.00,Obesity, unspecified
GSE19099,C0028754,MSH,D009765,Obesity
GSE19101-GPL2004,C0023467,ICD9CM,205.0,Myeloid leukemia, acute
GSE19101-GPL2005,C0023467,ICD9CM,205.0,Myeloid leukemia, acute
GSE19101-GPL3718,C0023467,ICD9CM,205.0,Myeloid leukemia, acute
GSE19101-GPL3720,C0023467,ICD9CM,205.0,Myeloid leukemia, acute
GSE19109,C0032080,MSH,D010935,Plant Diseases
GSE19113,C0006118,ICD9CM,239.6,Brain neoplasm NOS
GSE19113,C0006118,ICD9CM,239.6,Neoplasm of unspecified nature of brain
GSE19114,C0006118,ICD9CM,239.6,Brain neoplasm NOS
GSE19114,C0006118,ICD9CM,239.6,Neoplasm of unspecified nature of brain
